State,State1,Metro,County,"Violent
crime","Murder and 
non negligent 
manslaughter",Rape,Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny 
theft","Motor 
vehicle 
theft",Arson
SOUTH CAROLINA,SC,1,York,377,3,46,42,286,"2,565",515,"1,842",208,9
SOUTH CAROLINA,SC,0,Allendale,12,0,0,2,10,48,18,26,4,1
SOUTH CAROLINA,SC,0,Bamberg,24,0,1,3,20,146,41,87,18,3
SOUTH CAROLINA,SC,0,Barnwell,57,1,2,2,52,292,78,174,40,3
SOUTH CAROLINA,SC,0,Colleton,214,11,15,15,173,726,201,439,86,8
SOUTH CAROLINA,SC,0,Dillon,138,5,6,18,109,576,229,301,46,12
SOUTH CAROLINA,SC,0,Georgetown,187,6,17,15,149,986,213,677,96,6
SOUTH CAROLINA,SC,0,Hampton,61,0,7,3,51,269,92,164,13,3
SOUTH CAROLINA,SC,0,Lee,64,0,1,3,60,306,96,185,25,0
SOUTH CAROLINA,SC,0,Marion,71,0,5,13,53,462,120,265,77,2
SOUTH CAROLINA,SC,0,Marlboro,106,3,13,6,84,342,115,211,16,4
SOUTH CAROLINA,SC,0,McCormick,8,0,0,0,8,77,23,41,13,0
SOUTH CAROLINA,SC,0,Newberry,91,4,5,4,78,299,64,214,21,0
SOUTH CAROLINA,SC,0,Oconee,199,4,46,13,136,"1,553",351,"1,047",155,22
SOUTH CAROLINA,SC,0,Orangeburg,744,16,18,41,669,"2,661",791,"1,502",368,5
SOUTH CAROLINA,SC,0,Union,53,0,7,3,43,376,87,256,33,4
SOUTH DAKOTA,SD,1,Lincoln,32,1,7,2,22,274,141,113,20,0
SOUTH DAKOTA,SD,1,McCook,7,0,2,0,5,19,8,8,3,0
SOUTH DAKOTA,SD,1,Meade,26,1,3,1,21,151,50,87,14,1
SOUTH DAKOTA,SD,1,Minnehaha,54,0,17,1,36,319,96,172,51,0
SOUTH DAKOTA,SD,1,Pennington,122,0,57,2,63,352,76,235,41,1
SOUTH DAKOTA,SD,1,Turner,18,0,2,0,16,45,11,26,8,1
SOUTH DAKOTA,SD,1,Union,7,0,1,0,6,46,11,33,2,2
SOUTH DAKOTA,SD,0,Aurora,5,0,0,0,5,1,1,0,0,0
SOUTH DAKOTA,SD,0,Beadle,4,0,0,0,4,7,3,3,1,0
SOUTH DAKOTA,SD,0,Bennett,0,0,0,0,0,6,4,0,2,1
SOUTH DAKOTA,SD,0,Bon Homme,2,0,0,0,2,13,2,3,8,0
SOUTH DAKOTA,SD,0,Brookings,9,1,2,0,6,45,11,33,1,0
SOUTH DAKOTA,SD,0,Brown,9,0,2,0,7,40,19,17,4,2
SOUTH DAKOTA,SD,0,Brule,3,0,1,0,2,1,0,1,0,0
SOUTH DAKOTA,SD,0,Butte,6,0,0,0,6,29,3,26,0,0
SOUTH DAKOTA,SD,0,Charles Mix,11,0,3,0,8,19,8,11,0,0
SOUTH DAKOTA,SD,0,Clark,1,0,0,0,1,5,0,3,2,0
SOUTH DAKOTA,SD,0,Clay,7,0,1,0,6,50,6,32,12,1
SOUTH DAKOTA,SD,0,Codington,9,0,0,0,9,16,1,12,3,1
SOUTH DAKOTA,SD,0,Corson,1,0,0,0,1,26,10,8,8,1
SOUTH DAKOTA,SD,0,Custer,8,0,2,0,6,135,54,74,7,1
SOUTH DAKOTA,SD,0,Davison,3,0,0,0,3,14,8,6,0,1
SOUTH DAKOTA,SD,0,Day,4,0,1,0,3,33,13,14,6,0
SOUTH DAKOTA,SD,0,Deuel,1,0,0,0,1,16,4,10,2,0
SOUTH DAKOTA,SD,0,Edmunds,0,0,0,0,0,0,0,0,0,0
SOUTH DAKOTA,SD,0,Faulk,0,0,0,0,0,7,4,3,0,0
SOUTH DAKOTA,SD,0,Gregory,0,0,0,0,0,7,0,5,2,0
SOUTH DAKOTA,SD,0,Hamlin,5,0,1,0,4,29,7,20,2,0
SOUTH DAKOTA,SD,0,Hand,4,0,3,0,1,1,0,1,0,0
SOUTH DAKOTA,SD,0,Hanson,1,0,0,0,1,10,5,1,4,0
SOUTH DAKOTA,SD,0,Hughes,4,0,0,0,4,9,2,5,2,1
SOUTH DAKOTA,SD,0,Hutchinson,0,0,0,0,0,6,5,0,1,0
SOUTH DAKOTA,SD,0,Jerauld,1,0,0,0,1,9,3,5,1,0
SOUTH DAKOTA,SD,0,Jones,0,0,0,0,0,2,1,1,0,0
SOUTH DAKOTA,SD,0,Kingsbury,0,0,0,0,0,4,1,3,0,0
SOUTH DAKOTA,SD,0,Lake,2,0,1,0,1,19,4,14,1,0
SOUTH DAKOTA,SD,0,Lawrence,7,0,1,0,6,39,14,21,4,0
SOUTH DAKOTA,SD,0,Lyman,2,0,0,0,2,11,7,3,1,0
SOUTH DAKOTA,SD,0,Marshall,6,0,0,0,6,23,8,14,1,0
SOUTH DAKOTA,SD,0,McPherson,3,0,0,0,3,18,4,14,0,0
SOUTH DAKOTA,SD,0,Mellette,0,0,0,0,0,6,1,5,0,0
SOUTH DAKOTA,SD,0,Miner,0,0,0,0,0,6,4,2,0,0
SOUTH DAKOTA,SD,0,Moody,3,0,0,0,3,2,2,0,0,1
SOUTH DAKOTA,SD,0,Perkins,2,0,2,0,0,10,1,9,0,0
SOUTH DAKOTA,SD,0,Potter,3,0,1,0,2,3,0,2,1,0
SOUTH DAKOTA,SD,0,Roberts,11,0,1,0,10,7,0,5,2,0
SOUTH DAKOTA,SD,0,Sanborn,3,0,0,0,3,7,1,6,0,0
SOUTH DAKOTA,SD,0,Spink,13,0,0,0,13,84,26,49,9,0
SOUTH DAKOTA,SD,0,Stanley,0,0,0,0,0,10,3,6,1,0
SOUTH DAKOTA,SD,0,Sully,4,0,0,0,4,9,7,0,2,2
SOUTH DAKOTA,SD,0,Tripp,2,0,1,0,1,4,0,3,1,0
SOUTH DAKOTA,SD,0,Walworth,0,0,0,0,0,5,0,5,0,0
SOUTH DAKOTA,SD,0,Yankton,7,1,2,0,4,53,10,27,16,0
SOUTH DAKOTA,SD,0,Ziebach,0,0,0,0,0,0,0,0,0,0
TENNESSEE,TN,1,Anderson,144,0,11,4,129,472,136,253,83,12
TENNESSEE,TN,1,Blount,322,0,55,14,253,"1,103",256,711,136,3
TENNESSEE,TN,1,Bradley,205,1,15,13,176,808,190,508,110,1
TENNESSEE,TN,1,Campbell,62,0,22,1,39,335,106,178,51,2
TENNESSEE,TN,1,Cannon,12,0,1,0,11,96,42,27,27,1
TENNESSEE,TN,1,Carter,63,0,3,3,57,334,67,236,31,0
TENNESSEE,TN,1,Cheatham,87,1,6,2,78,280,57,174,49,2
TENNESSEE,TN,1,Chester,25,1,6,0,18,79,30,37,12,0
TENNESSEE,TN,1,Crockett,29,0,0,1,28,106,35,57,14,0
TENNESSEE,TN,1,Dickson,121,0,15,4,102,334,88,195,51,0
TENNESSEE,TN,1,Fayette,55,1,1,4,49,209,60,121,28,0
TENNESSEE,TN,1,Gibson,56,2,7,3,44,160,51,88,21,0
TENNESSEE,TN,1,Grainger,43,0,3,1,39,160,38,104,18,0
TENNESSEE,TN,1,Hamblen,120,1,11,8,100,462,100,288,74,5
TENNESSEE,TN,1,Hartsville/Trousdale,30,0,5,1,24,142,24,105,13,0
TENNESSEE,TN,1,Hawkins,77,2,6,2,67,587,163,335,89,3
TENNESSEE,TN,1,Jefferson,97,1,14,0,82,428,135,230,63,1
TENNESSEE,TN,1,Knox,577,2,62,30,483,"3,413",588,"2,331",494,15
TENNESSEE,TN,1,Loudon,72,3,3,3,63,375,79,243,53,1
TENNESSEE,TN,1,Macon,41,0,0,0,41,159,54,91,14,1
TENNESSEE,TN,1,Madison,103,0,4,12,87,380,73,251,56,0
TENNESSEE,TN,1,Marion,59,0,3,1,55,220,43,135,42,3
TENNESSEE,TN,1,Maury,140,1,24,1,114,431,94,260,77,3
TENNESSEE,TN,1,Montgomery,104,2,10,1,91,571,136,378,57,2
TENNESSEE,TN,1,Morgan,40,0,3,1,36,320,100,168,52,1
TENNESSEE,TN,1,Polk,25,0,1,2,22,311,61,192,58,3
TENNESSEE,TN,1,Roane,63,2,5,1,55,235,70,123,42,1
TENNESSEE,TN,1,Robertson,75,1,6,1,67,243,48,164,31,2
TENNESSEE,TN,1,Rutherford,205,1,19,16,169,746,153,506,87,10
TENNESSEE,TN,1,Sequatchie,31,0,1,1,29,153,40,84,29,3
TENNESSEE,TN,1,Shelby,569,3,34,72,460,"2,473",551,"1,703",219,11
TENNESSEE,TN,1,Smith,43,0,7,1,35,148,54,82,12,0
TENNESSEE,TN,1,Stewart,18,0,3,0,15,92,35,39,18,0
TENNESSEE,TN,1,Sullivan,228,5,28,7,188,"1,043",225,656,162,12
TENNESSEE,TN,1,Sumner,118,9,11,4,94,404,85,267,52,4
TENNESSEE,TN,1,Tipton,123,0,11,3,109,465,131,273,61,1
TENNESSEE,TN,1,Unicoi,21,0,0,0,21,116,31,75,10,1
TENNESSEE,TN,1,Union,22,1,4,0,17,204,63,116,25,0
TENNESSEE,TN,1,Washington,159,1,10,4,144,762,182,446,134,3
TENNESSEE,TN,1,Williamson,119,2,14,2,101,289,66,196,27,4
TENNESSEE,TN,1,Wilson,85,0,2,4,79,555,105,384,66,1
TENNESSEE,TN,0,Bedford,75,0,8,0,67,250,59,165,26,3
TENNESSEE,TN,0,Benton,18,0,6,1,11,114,47,50,17,0
TENNESSEE,TN,0,Bledsoe,11,0,0,0,11,62,16,28,18,1
TENNESSEE,TN,0,Carroll,44,1,7,2,34,154,63,73,18,0
TENNESSEE,TN,0,Claiborne,58,4,3,2,49,283,80,162,41,5
TENNESSEE,TN,0,Clay,14,0,0,2,12,40,18,20,2,0
TENNESSEE,TN,0,Coffee,87,0,6,3,78,403,102,261,40,2
TENNESSEE,TN,0,Cumberland,42,1,1,4,36,737,198,440,99,2
TENNESSEE,TN,0,Decatur,30,0,3,0,27,100,43,43,14,0
TENNESSEE,TN,0,DeKalb,17,1,1,0,15,117,34,68,15,2
TENNESSEE,TN,0,Dyer,18,0,2,0,16,184,51,112,21,0
TENNESSEE,TN,0,Fentress,27,1,3,0,23,189,46,120,23,3
TENNESSEE,TN,0,Franklin,98,3,8,1,86,238,41,163,34,0
TENNESSEE,TN,0,Giles,51,1,7,2,41,184,44,114,26,3
TENNESSEE,TN,0,Greene,168,0,8,5,155,888,258,487,143,12
TENNESSEE,TN,0,Grundy,77,2,7,0,68,245,47,149,49,4
TENNESSEE,TN,0,Hancock,21,0,3,0,18,110,24,74,12,0
TENNESSEE,TN,0,Hardeman,46,0,2,3,41,178,57,92,29,1
TENNESSEE,TN,0,Hardin,35,1,4,2,28,348,121,181,46,1
TENNESSEE,TN,0,Haywood,36,1,2,1,32,133,47,64,22,1
TENNESSEE,TN,0,Henderson,83,0,9,2,72,295,87,161,47,2
TENNESSEE,TN,0,Henry,47,0,8,1,38,298,89,168,41,3
TENNESSEE,TN,0,Hickman,84,0,8,1,75,394,108,201,85,0
TENNESSEE,TN,0,Houston,23,0,0,0,23,75,21,48,6,0
TENNESSEE,TN,0,Humphreys,30,0,0,0,30,93,28,52,13,1
TENNESSEE,TN,0,Jackson,24,1,1,1,21,83,21,50,12,2
TENNESSEE,TN,0,Johnson,34,1,3,2,28,132,41,69,22,0
TENNESSEE,TN,0,Lake,4,0,1,0,3,25,9,12,4,0
TENNESSEE,TN,0,Lauderdale,45,2,3,1,39,192,68,104,20,3
TENNESSEE,TN,0,Lawrence,49,0,5,1,43,267,97,133,37,3
TENNESSEE,TN,0,Lewis,17,0,0,0,17,71,24,40,7,2
TENNESSEE,TN,0,Lincoln,62,0,7,2,53,286,101,152,33,1
TENNESSEE,TN,0,Marshall,28,0,0,1,27,72,10,43,19,0
TENNESSEE,TN,0,McMinn,93,1,8,5,79,549,180,255,114,5
TENNESSEE,TN,0,McNairy,55,1,5,1,48,276,93,145,38,4
TENNESSEE,TN,0,Meigs,61,0,6,4,51,284,78,157,49,7
TENNESSEE,TN,0,Monroe,234,0,10,7,217,873,284,465,124,6
TENNESSEE,TN,0,Moore,7,0,2,0,5,58,4,51,3,0
TENNESSEE,TN,0,Obion,34,0,1,1,32,177,35,114,28,1
TENNESSEE,TN,0,Overton,13,0,1,0,12,135,16,90,29,1
TENNESSEE,TN,0,Perry,13,0,0,0,13,59,14,40,5,2
TENNESSEE,TN,0,Pickett,8,0,2,0,6,28,4,22,2,0
TENNESSEE,TN,0,Putnam,85,0,13,0,72,518,136,317,65,5
TENNESSEE,TN,0,Rhea,67,0,5,2,60,191,57,112,22,0
TENNESSEE,TN,0,Scott,27,1,2,0,24,161,104,41,16,0
TENNESSEE,TN,0,Sevier,153,0,19,10,124,836,203,460,173,1
TENNESSEE,TN,0,Van Buren,3,0,0,0,3,30,3,20,7,0
TENNESSEE,TN,0,Wayne,14,2,0,0,12,93,21,54,18,1
TENNESSEE,TN,0,Weakley,27,0,7,1,19,116,45,53,18,0
TENNESSEE,TN,0,White,55,0,2,5,48,251,45,165,41,8
TEXAS,TX,1,Austin,13,0,2,0,11,87,40,29,18,0
TEXAS,TX,1,Bandera,12,0,2,1,9,268,95,143,30,1
TEXAS,TX,1,Bastrop,212,6,46,18,142,649,192,349,108,5
TEXAS,TX,1,Bell,82,0,27,1,54,631,152,445,34,0
TEXAS,TX,1,Bexar,692,13,145,88,446,"5,297",990,"3,801",506,39
TEXAS,TX,1,Bowie,102,1,25,2,74,331,131,170,30,6
TEXAS,TX,1,Brazoria,170,4,13,34,119,"1,325",306,851,168,3
TEXAS,TX,1,Brazos,29,0,13,1,15,306,93,200,13,2
TEXAS,TX,1,Burleson,20,1,7,2,10,100,34,63,3,1
TEXAS,TX,1,Caldwell,51,0,6,2,43,88,26,53,9,0
TEXAS,TX,1,Callahan,5,0,0,0,5,44,12,22,10,1
TEXAS,TX,1,Cameron,162,1,46,15,100,937,298,586,53,4
TEXAS,TX,1,Carson,22,1,2,3,16,25,9,15,1,0
TEXAS,TX,1,Chambers,93,3,8,8,74,544,132,408,4,4
TEXAS,TX,1,Clay,16,0,8,0,8,103,33,49,21,2
TEXAS,TX,1,Collin,66,0,22,4,40,338,102,187,49,2
TEXAS,TX,1,Comal,135,0,40,9,86,601,179,373,49,0
TEXAS,TX,1,Coryell,4,0,0,1,3,54,11,43,0,0
TEXAS,TX,1,Dallas,43,0,11,4,28,307,54,206,47,0
TEXAS,TX,1,Denton,95,0,43,7,45,440,88,299,53,3
TEXAS,TX,1,Ector,116,4,14,19,79,"1,579",228,985,366,0
TEXAS,TX,1,Ellis,83,1,19,4,59,362,85,238,39,0
TEXAS,TX,1,El Paso,259,1,44,17,197,641,145,395,101,4
TEXAS,TX,1,Fort Bend,841,10,119,120,592,"4,643",691,"3,653",299,1
TEXAS,TX,1,Galveston,123,2,30,16,75,727,179,454,94,15
TEXAS,TX,1,Goliad,22,1,3,2,16,79,19,49,11,0
TEXAS,TX,1,Grayson,32,0,15,7,10,401,109,237,55,4
TEXAS,TX,1,Gregg,84,3,26,4,51,373,106,212,55,2
TEXAS,TX,1,Guadalupe,69,2,32,3,32,424,113,279,32,19
TEXAS,TX,1,Hardin,38,1,1,5,31,285,91,148,46,5
TEXAS,TX,1,Harris,"7,329",97,860,"2,249","4,123","42,526","7,044","29,466","6,016",85
TEXAS,TX,1,Harrison,52,3,0,3,46,445,138,246,61,1
TEXAS,TX,1,Hays,111,0,37,12,62,672,141,479,52,1
TEXAS,TX,1,Hidalgo,518,5,139,103,271,"3,241",909,"2,012",320,10
TEXAS,TX,1,Hudspeth,8,0,0,0,8,14,3,9,2,1
TEXAS,TX,1,Hunt,350,4,16,9,321,570,166,293,111,0
TEXAS,TX,1,Jefferson,59,1,1,8,49,358,78,224,56,1
TEXAS,TX,1,Johnson,205,0,53,4,148,660,167,397,96,3
TEXAS,TX,1,Jones,4,0,0,1,3,60,20,35,5,0
TEXAS,TX,1,Kaufman,126,2,30,15,79,767,237,425,105,1
TEXAS,TX,1,Kendall,19,0,2,2,15,104,23,67,14,2
TEXAS,TX,1,Lampasas,12,1,1,0,10,83,21,55,7,1
TEXAS,TX,1,Lubbock,16,1,4,0,11,331,89,191,51,0
TEXAS,TX,1,Lynn,0,0,0,0,0,3,0,3,0,1
TEXAS,TX,1,McLennan,69,0,24,0,45,500,149,227,124,5
TEXAS,TX,1,Medina,101,2,14,4,81,351,79,202,70,0
TEXAS,TX,1,Montgomery,736,12,74,103,547,"4,976","1,052","3,366",558,15
TEXAS,TX,1,Nueces,61,1,10,9,41,160,49,108,3,0
TEXAS,TX,1,Oldham,0,0,0,0,0,6,4,2,0,0
TEXAS,TX,1,Parker,100,2,24,4,70,751,188,474,89,2
TEXAS,TX,1,Randall,61,0,26,3,32,249,94,122,33,1
TEXAS,TX,1,Robertson,8,1,1,0,6,116,37,65,14,0
TEXAS,TX,1,Rockwall,13,0,4,0,9,91,15,50,26,1
TEXAS,TX,1,Rusk,33,1,7,2,23,442,145,240,57,2
TEXAS,TX,1,San Patricio,37,0,0,4,33,166,60,80,26,0
TEXAS,TX,1,Smith,335,7,58,18,252,"1,453",412,800,241,7
TEXAS,TX,1,Tarrant,123,0,28,18,77,742,214,456,72,2
TEXAS,TX,1,Taylor,39,0,5,0,34,89,45,37,7,0
TEXAS,TX,1,Tom Green,32,1,25,1,5,254,89,140,25,5
TEXAS,TX,1,Travis,790,2,117,71,600,"3,240",762,"2,192",286,16
TEXAS,TX,1,Victoria,94,3,19,6,66,399,128,224,47,0
TEXAS,TX,1,Wichita,38,0,1,1,36,126,42,62,22,0
TEXAS,TX,1,Williamson,152,1,57,4,90,"1,377",295,975,107,9
TEXAS,TX,1,Wilson,20,0,7,0,13,228,94,111,23,3
TEXAS,TX,1,Wise,83,2,22,4,55,323,114,170,39,1
TEXAS,TX,0,Anderson,30,2,3,2,23,363,150,171,42,0
TEXAS,TX,0,Angelina,97,1,27,5,64,567,183,330,54,1
TEXAS,TX,0,Aransas,60,0,13,3,44,240,62,164,14,0
TEXAS,TX,0,Bailey,3,0,1,0,2,36,15,20,1,0
TEXAS,TX,0,Bee,21,0,3,0,18,159,56,93,10,1
TEXAS,TX,0,Borden,1,0,1,0,0,10,5,4,1,0
TEXAS,TX,0,Bosque,27,0,3,0,24,71,38,24,9,1
TEXAS,TX,0,Brewster,7,0,1,0,6,10,4,3,3,0
TEXAS,TX,0,Briscoe,0,0,0,0,0,3,2,0,1,0
TEXAS,TX,0,Brooks,1,0,0,0,1,0,0,0,0,0
TEXAS,TX,0,Brown,31,0,7,1,23,189,62,114,13,4
TEXAS,TX,0,Burnet,54,0,11,2,41,219,65,119,35,2
TEXAS,TX,0,Calhoun,22,0,8,0,14,103,26,71,6,0
TEXAS,TX,0,Camp,9,0,2,0,7,67,31,29,7,2
TEXAS,TX,0,Cass,32,0,3,1,28,174,61,92,21,5
TEXAS,TX,0,Castro,6,0,0,0,6,47,13,26,8,0
TEXAS,TX,0,Cherokee,61,1,7,2,51,362,117,198,47,2
TEXAS,TX,0,Childress,1,0,0,0,1,7,1,5,1,0
TEXAS,TX,0,Cochran,3,0,0,0,3,27,12,15,0,1
TEXAS,TX,0,Coke,2,0,0,0,2,14,10,0,4,0
TEXAS,TX,0,Colorado,19,1,7,1,10,117,29,77,11,2
TEXAS,TX,0,Comanche,3,0,0,0,3,58,11,41,6,0
TEXAS,TX,0,Concho,11,0,0,0,11,8,8,0,0,0
TEXAS,TX,0,Cooke,33,3,8,3,19,100,38,51,11,2
TEXAS,TX,0,Crockett,2,0,0,1,1,18,9,5,4,0
TEXAS,TX,0,Culberson,0,0,0,0,0,0,0,0,0,0
TEXAS,TX,0,Dallam,0,0,0,0,0,1,0,0,1,0
TEXAS,TX,0,Dawson,2,0,0,0,2,64,27,25,12,0
TEXAS,TX,0,Deaf Smith,8,0,1,0,7,60,18,32,10,0
TEXAS,TX,0,Delta,1,0,0,0,1,27,10,16,1,1
TEXAS,TX,0,DeWitt,33,1,7,0,25,120,47,66,7,2
TEXAS,TX,0,Dimmit,11,1,2,0,8,139,39,93,7,0
TEXAS,TX,0,Donley,4,2,0,0,2,30,12,16,2,0
TEXAS,TX,0,Duval,12,0,0,0,12,104,24,41,39,0
TEXAS,TX,0,Eastland,5,2,2,0,1,22,9,5,8,0
TEXAS,TX,0,Edwards,2,0,1,0,1,5,1,2,2,2
TEXAS,TX,0,Erath,50,2,9,2,37,93,52,30,11,0
TEXAS,TX,0,Fannin,42,1,8,0,33,194,51,114,29,1
TEXAS,TX,0,Fayette,11,0,6,1,4,123,41,76,6,0
TEXAS,TX,0,Floyd,12,0,0,1,11,25,5,19,1,2
TEXAS,TX,0,Freestone,22,0,3,3,16,131,55,68,8,2
TEXAS,TX,0,Frio,9,0,0,0,9,60,17,34,9,0
TEXAS,TX,0,Gaines,11,2,2,1,6,88,29,49,10,10
TEXAS,TX,0,Garza,15,0,5,0,10,30,17,11,2,0
TEXAS,TX,0,Gillespie,12,1,3,0,8,55,6,46,3,1
TEXAS,TX,0,Gonzales,25,0,7,0,18,116,27,83,6,2
TEXAS,TX,0,Gray,15,0,1,2,12,59,19,36,4,0
TEXAS,TX,0,Hale,16,0,0,0,16,64,25,38,1,1
TEXAS,TX,0,Hall,3,1,0,0,2,7,2,5,0,0
TEXAS,TX,0,Hamilton,4,0,2,0,2,15,4,8,3,0
TEXAS,TX,0,Hansford,1,0,0,0,1,11,4,3,4,0
TEXAS,TX,0,Hardeman,5,0,0,0,5,13,3,10,0,0
TEXAS,TX,0,Hartley,0,0,0,0,0,10,3,3,4,0
TEXAS,TX,0,Haskell,1,0,0,0,1,8,2,6,0,0
TEXAS,TX,0,Hemphill,2,0,0,0,2,13,1,12,0,0
TEXAS,TX,0,Henderson,141,2,58,5,76,584,281,242,61,0
TEXAS,TX,0,Hill,31,1,12,1,17,234,56,154,24,2
TEXAS,TX,0,Hockley,13,0,2,2,9,71,30,34,7,0
TEXAS,TX,0,Hood,55,0,11,2,42,356,99,205,52,2
TEXAS,TX,0,Hopkins,27,1,9,0,17,61,17,26,18,0
TEXAS,TX,0,Houston,2,0,0,0,2,102,43,53,6,0
TEXAS,TX,0,Howard,53,0,4,0,49,273,53,172,48,4
TEXAS,TX,0,Hutchinson,11,0,3,0,8,71,26,42,3,0
TEXAS,TX,0,Jack,9,0,0,2,7,36,15,13,8,0
TEXAS,TX,0,Jackson,6,0,1,0,5,51,10,34,7,0
TEXAS,TX,0,Jasper,72,2,18,2,50,403,155,197,51,1
TEXAS,TX,0,Jim Hogg,5,0,0,0,5,20,10,7,3,1
TEXAS,TX,0,Karnes,3,1,0,0,2,99,45,42,12,0
TEXAS,TX,0,Kenedy,0,0,0,0,0,8,2,3,3,0
TEXAS,TX,0,Kerr,51,0,21,0,30,199,51,133,15,2
TEXAS,TX,0,Kimble,2,0,1,1,0,4,2,2,0,1
TEXAS,TX,0,Kinney,0,0,0,0,0,1,1,0,0,0
TEXAS,TX,0,Lamar,28,1,9,1,17,135,39,88,8,0
TEXAS,TX,0,Lamb,6,0,2,1,3,61,24,31,6,0
TEXAS,TX,0,La Salle,5,0,0,1,4,44,7,37,0,0
TEXAS,TX,0,Lavaca,10,2,2,0,6,63,16,41,6,0
TEXAS,TX,0,Lee,25,0,2,1,22,86,28,49,9,0
TEXAS,TX,0,Leon,11,0,0,0,11,116,36,70,10,0
TEXAS,TX,0,Limestone,14,0,2,0,12,76,63,10,3,0
TEXAS,TX,0,Llano,29,1,3,0,25,145,41,88,16,2
TEXAS,TX,0,Madison,8,0,0,1,7,66,34,15,17,0
TEXAS,TX,0,Mason,8,0,1,0,7,10,4,5,1,0
TEXAS,TX,0,Matagorda,62,0,19,6,37,332,91,214,27,0
TEXAS,TX,0,McCulloch,3,0,0,0,3,41,17,19,5,0
TEXAS,TX,0,Menard,3,0,0,1,2,1,1,0,0,0
TEXAS,TX,0,Milam,13,0,2,0,11,87,19,60,8,1
TEXAS,TX,0,Mills,14,0,1,0,13,20,11,9,0,0
TEXAS,TX,0,Mitchell,1,0,0,0,1,25,5,15,5,0
TEXAS,TX,0,Montague,33,0,7,0,26,83,28,48,7,0
TEXAS,TX,0,Moore,6,1,0,0,5,39,12,20,7,0
TEXAS,TX,0,Morris,10,0,4,2,4,72,21,48,3,0
TEXAS,TX,0,Nacogdoches,58,2,10,1,45,270,85,148,37,1
TEXAS,TX,0,Navarro,58,1,15,3,39,242,105,118,19,2
TEXAS,TX,0,Newton,22,0,1,1,20,98,49,38,11,2
TEXAS,TX,0,Nolan,4,0,0,0,4,31,10,21,0,1
TEXAS,TX,0,Ochiltree,0,0,0,0,0,22,7,12,3,0
TEXAS,TX,0,Palo Pinto,9,0,4,1,4,68,22,34,12,0
TEXAS,TX,0,Panola,26,1,12,3,10,260,75,165,20,2
TEXAS,TX,0,Pecos,1,0,0,0,1,98,15,66,17,0
TEXAS,TX,0,Polk,76,5,33,7,31,671,212,379,80,8
TEXAS,TX,0,Rains,8,0,0,0,8,48,19,24,5,0
TEXAS,TX,0,Reagan,7,0,0,0,7,32,11,18,3,0
TEXAS,TX,0,Real,3,0,0,0,3,59,15,39,5,1
TEXAS,TX,0,Refugio,3,0,2,0,1,52,30,19,3,0
TEXAS,TX,0,Roberts,0,0,0,0,0,2,1,1,0,0
TEXAS,TX,0,Runnels,1,0,0,0,1,11,5,6,0,0
TEXAS,TX,0,Sabine,14,0,5,0,9,73,39,24,10,0
TEXAS,TX,0,San Augustine,13,0,1,0,12,57,34,16,7,0
TEXAS,TX,0,San Jacinto,44,0,26,1,17,330,115,173,42,0
TEXAS,TX,0,Schleicher,4,0,0,0,4,13,6,6,1,0
TEXAS,TX,0,Scurry,7,0,2,0,5,44,15,28,1,0
TEXAS,TX,0,Shelby,40,1,0,2,37,189,61,90,38,3
TEXAS,TX,0,Sherman,0,0,0,0,0,3,2,1,0,0
TEXAS,TX,0,Somervell,4,0,0,0,4,30,11,16,3,0
TEXAS,TX,0,Starr,79,1,11,6,61,232,72,126,34,3
TEXAS,TX,0,Stephens,1,0,1,0,0,21,9,9,3,0
TEXAS,TX,0,Stonewall,1,0,0,0,1,0,0,0,0,0
TEXAS,TX,0,Sutton,0,0,0,0,0,1,0,0,1,0
TEXAS,TX,0,Swisher,7,0,1,1,5,24,7,13,4,0
TEXAS,TX,0,Terry,1,0,0,0,1,30,15,9,6,0
TEXAS,TX,0,Titus,50,0,3,3,44,162,55,88,19,2
TEXAS,TX,0,Tyler,67,5,6,1,55,252,121,92,39,4
TEXAS,TX,0,Upton,2,0,0,0,2,31,3,25,3,0
TEXAS,TX,0,Uvalde,16,1,0,0,15,85,30,46,9,2
TEXAS,TX,0,Val Verde,29,0,3,1,25,87,41,41,5,0
TEXAS,TX,0,Walker,52,0,11,3,38,186,61,93,32,2
TEXAS,TX,0,Ward,27,0,3,3,21,218,38,173,7,0
TEXAS,TX,0,Washington,50,0,11,2,37,140,47,79,14,1
TEXAS,TX,0,Wharton,68,0,12,4,52,230,73,127,30,2
TEXAS,TX,0,Wheeler,5,0,0,0,5,11,1,7,3,0
TEXAS,TX,0,Wilbarger,2,0,2,0,0,13,2,10,1,0
TEXAS,TX,0,Willacy,24,0,8,0,16,123,43,75,5,1
TEXAS,TX,0,Winkler,9,1,2,0,6,80,10,55,15,0
TEXAS,TX,0,Wood,75,0,39,6,30,225,65,127,33,0
TEXAS,TX,0,Yoakum,3,0,1,0,2,18,9,5,4,0
TEXAS,TX,0,Young,12,0,7,1,4,35,16,13,6,0
TEXAS,TX,0,Zapata,52,0,1,5,46,183,76,105,2,0
TEXAS,TX,0,Zavala,12,0,4,0,8,32,19,8,5,0
UTAH,UT,1,Box Elder,12,1,5,0,6,131,40,81,10,0
UTAH,UT,1,Cache,32,0,23,1,8,150,15,95,40,4
UTAH,UT,1,Davis,50,0,14,1,35,213,28,173,12,0
